DATE,Return
2007-07,-1.8202934763839933
2007-08,-1.8471198027663052
2007-09,-1.2811184578827606
2007-10,-1.634211063566129
2007-11,-1.2985398391844516
2007-12,-1.2411755048488056
2008-01,-1.2250852218207966
2008-02,-1.1178616862603359
2008-03,-0.9995811850968368
2008-04,-1.16463702744549
2008-05,-1.2134930049981483
2008-06,-1.4109405878886496
2008-07,-1.3836336736101866
2008-08,-1.2145486713946976
2008-09,-1.229402415611963
2008-10,-1.4478033620427548
2008-11,-0.9408055134100121
2008-12,-0.682999968707557
2009-01,-0.7298286517350159
2009-02,-0.8218408825197049
2009-03,-0.758152067626295
2009-04,-0.7389086783353225
2009-05,-0.8585564950278548
2009-06,-1.234070139954608
2009-07,-1.0857292803687963
2009-08,-1.0625479895126462
2009-09,-0.9830954202926769
2009-10,-1.032717441958288
2009-11,-0.8310430659456634
2009-12,-1.1548235523517107
2010-01,-1.0434399240953363
2010-02,-0.962540232913768
2010-03,-1.2615114143513144
2010-04,-1.2795267698024786
2010-05,-1.0411854586451712
2010-06,-1.0552495611774975
2010-07,-0.7958501881856981
2010-08,-0.8438821326715935
2010-09,-0.6435506060622029
2010-10,-0.6145835432535229
2010-11,-0.7270531654889387
2010-12,-0.9734021361374348
2011-01,-0.9267761054715151
2011-02,-0.9176417069056431
2011-03,-1.165531040908609
2011-04,-0.9440496744767997
2011-05,-0.9387811633223078
2011-06,-0.9352819870303579
2011-07,-0.8286221674144333
2011-08,-0.7449737474461611
2011-09,-0.5797075044826719
2011-10,-0.4231092285566096
2011-11,-0.49494058096056004
2011-12,-0.5003044273487727
2012-01,-0.4326274862253876
2012-02,-0.43591374738276367
2012-03,-0.5732468417037211
2012-04,-0.5397285852678504
2012-05,-0.5442976093345231
2012-06,-0.3625339397600249
2012-07,-0.3620181562174005
2012-08,-0.4466046183405463
2012-09,-0.3592482653501321
2012-10,-0.45818838538238993
2012-11,-0.38546815675637114
2012-12,-0.3991060911904092
2013-01,-0.4388555937527021
2013-02,-0.44146804272842477
2013-03,-0.4376196337926277
2013-04,-0.4495203967131689
2013-05,-0.5014133460795993
2013-06,-0.5907954274239448
2013-07,-0.702759531330494
2013-08,-0.8426903558941856
2013-09,-0.7106901872817981
2013-10,-0.7203087832111041
2013-11,-0.6365789188992761
2013-12,-0.7998692762094122
2014-01,-0.8427716126924568
2014-02,-0.6187594833984853
2014-03,-0.7511943066666049
2014-04,-0.7454334436362056
2014-05,-0.6789815116560893
2014-06,-0.6947686049856638
2014-07,-0.7523338652589768
2014-08,-0.6146072844276531
2014-09,-0.7069264268229477
2014-10,-0.6274019523297973
2014-11,-0.4880278710623722
2014-12,-0.6207709833879715
2015-01,-0.4828236752872479
2015-02,-0.3952020972661858
2015-03,-0.5776693524084743
2015-04,-0.515924718898914
2015-05,-0.5340663126308178
2015-06,-0.6928849001689179
2015-07,-0.6381413061184458
2015-08,-0.6312614003892734
2015-09,-0.5969672950728121
2015-10,-0.45467370029827747
2015-11,-0.5293987598520511
2015-12,-0.6464968225398187
2016-01,-0.5308496460479083
2016-02,-0.427125135676243
2016-03,-0.44342072976902913
2016-04,-0.4533321397037182
2016-05,-0.44099532408114106
2016-06,-0.4306242516501195
2016-07,-0.3122993201336137
2016-08,-0.4277443151624146
2016-09,-0.4056692804965484
2016-10,-0.43823800609033114
2016-11,-0.49362800940802787
2016-12,-0.6585884180362422
2017-01,-0.5992802916229298
2017-02,-0.5375995527421926
2017-03,-0.7577730149011865
2017-04,-0.5305642157191834
2017-05,-0.6388706538796765
2017-06,-0.6046695499810064
2017-07,-0.5620453116850275
2017-08,-0.6524118370187753
2017-09,-0.5266101116987507
2017-10,-0.609867329293349
2017-11,-0.6017441085234883
2017-12,-0.5978876329544562
2018-01,-0.6524669469938837
2018-02,-0.747383077757351
2018-03,-0.8282996362619176
2018-04,-0.8085197629807028
2018-05,-0.8853865837564878
2018-06,-0.8224978174745288
2018-07,-0.7826355720364457
2018-08,-0.8950306960087344
2018-09,-0.7505668963694592
2018-10,-1.0487988799287882
2018-11,-0.829720738850823
2018-12,-0.7919217994811122
2019-01,-0.6760222386090649
2019-02,-0.6219853477940025
2019-03,-0.686220714755374
2019-04,-0.6514440948662319
2019-05,-0.7489455843594693
2019-06,-0.4387238657955528
2019-07,-0.5526728106747918
2019-08,-0.44413924394597315
2019-09,-0.3836020663900612
2019-10,-0.43066592024583183
2019-11,-0.37260715501631014
2019-12,-0.4448469510741986
2020-01,-0.44341400290879507
2020-02,-0.41208342409912346
2020-03,-0.335028679673546
2020-04,-0.02072341363040553
2020-05,-0.09850755665333666
2020-06,-0.1547857535090662
2020-07,-0.09146573654270673
2020-08,-0.07567884969081762
2020-09,-0.19205473788422678
2020-10,-0.20664630957240704
2020-11,-0.07135573858435218
2020-12,-0.18972466886193917
2021-01,-0.237796078596347
2021-02,-0.24197842541241843
2021-03,-0.4017365852255397
2021-04,-0.376308402167838
2021-05,-0.373845560624237
2021-06,-0.3710988350181983
2021-07,-0.29389465579456453
2021-08,-0.2948027370043631
2021-09,-0.37962890510933134
2021-10,-0.29977162433658466
2021-11,-0.3710618012986475
2021-12,-0.3334595525693558
